"rec","dens_0","conn_0","conn_agri","conn_wtr","g0_1"
159,-1.27898715412052,0.746068213799638,0.550796938080465,-4.43287945976829,-2.06526489511285
160,-1.28271486285254,0.739459674261393,0.545972516080122,-4.44888789809764,-2.05773985560951
161,-1.28637967474138,0.733097952509368,0.541392590477949,-4.46482143613552,-2.05034619142513
162,-1.28998898506525,0.7269933170585,0.536892992696464,-4.48067725487081,-2.0430850578357
163,-1.29354971748858,0.721150164348875,0.532331384821499,-4.49645332076635,-2.03595726825611
164,-1.29706877152475,0.715560094085964,0.527622609512693,-4.51214952231666,-2.02896307240515
165,-1.30055322348467,0.710198842343195,0.52275472941546,-4.52776820081859,-2.02210205909922
166,-1.30401022054375,0.705027767579734,0.517783401163373,-4.54331393385982,-2.01537320060676
167,-1.30744660295413,0.699998997580356,0.512808756941201,-4.55879276145577,-2.0087750154515
168,-1.31086836563724,0.695062910496937,0.507943016458455,-4.57421095864846,-2.00230579752907
169,-1.31428011087675,0.690175569524836,0.503277666722781,-4.58957387143049,-1.99596384727876
170,-1.31768464233536,0.68530443946826,0.498859137221257,-4.60488500634898,-1.98974764565087
171,-1.32108280820996,0.680430892478619,0.494678615455646,-4.6201456957924,-1.98365593201072
172,-1.32447363123072,0.675549141187145,0.490677705995174,-4.6353552526122,-1.97768767608585
173,-1.32785468561684,0.670662216961289,0.486767618123637,-4.65051164515736,-1.97184196356538
174,-1.3312226167801,0.665776396894439,0.482855777735376,-4.66561238033929,-1.9661178376295
175,-1.33457366734364,0.660895708291924,0.478871981040846,-4.68065542669023,-1.96051414825161
176,-1.33790408051259,0.656018217333926,0.474786741138923,-4.69563976999685,-1.95502945561572
177,-1.34121029565149,0.651134994831582,0.470616980635644,-4.71056561719154,-1.94966201560358
178,-1.34448891663967,0.646231953326492,0.466417904988548,-4.72543403938927,-1.94440984989575
179,-1.34773650282415,0.641293780099992,0.462264100388432,-4.7402464024597,-1.93927087799099
180,-1.35094928420768,0.636308638448229,0.458225703994015,-4.75500357471835,-1.93424307103496
181,-1.35412292329358,0.631272146277103,0.454347245547705,-4.76970527549481,-1.92932458211624
182,-1.35725242766955,0.62618934679991,0.45063561515501,-4.78434978612125,-1.92451381668591
183,-1.36033226588509,0.621074130329121,0.44706077930992,-4.79893401830941,-1.91980942672962
184,-1.36335667032056,0.615946357037007,0.44356856581746,-4.81345397697035,-1.91521023703909
185,-1.36632004776018,0.610827701824018,0.440100867970631,-4.82790540638361,-1.91071513316823
186,-1.36921738276335,0.605737583660957,0.436616176182253,-4.84228445293296,-1.9063229514373
187,-1.37204452278113,0.600690447807879,0.43310354637844,-4.85658807781909,-1.90203240821627
188,-1.37479827480305,0.595695181798341,0.429585462337689,-4.87081415233498,-1.89784209031562
189,-1.37747630708498,0.590756650234519,0.426109095602163,-4.88496120258911,-1.89375050606311
190,-1.38007691349847,0.585878626444828,0.42272951051328,-4.89902793092606,-1.88975617555132
191,-1.38259874026937,0.58106695311306,0.419490965916483,-4.91301271015651,-1.88585772584742
192,-1.3850405813532,0.576331734225894,0.416413095042337,-4.92691321810206,-1.88205395665887
193,-1.38740131660592,0.571687805681189,0.413486705766948,-4.94072636534997,-1.87834385406261
194,-1.38968000877063,0.567153349793563,0.410680226458938,-4.95444850831273,-1.87472654957039
195,-1.39187611317702,0.562747239018562,0.407953827705479,-4.96807587891328,-1.87120124155356
196,-1.39398971173817,0.558486118048071,0.405275584685609,-4.98160505438544,-1.86776710854159
197,-1.39602167548703,0.554382269814797,0.402633525355274,-4.99503330920901,-1.86442324491027
198,-1.39797368922196,0.550442972727382,0.400039294141385,-5.00835871532384,-1.86116863911272
199,-1.39984812520414,0.546671435949326,0.397522575100232,-5.02157999916057,-1.85800219735903
200,-1.40164780888224,0.543068852862933,0.395118952419877,-5.03469620564072,-1.85492279842107
201,-1.40292805221293,0.54052593350108,0.393442498328654,-5.0443354598597,-1.85270494460623
202,-1.40384139388827,0.538730534142209,0.392277288514535,-5.0514353023325,-1.85110384693463
203,-1.40459403317481,0.537269977945037,0.391341928384515,-5.05747002397694,-1.8497694578525
204,-1.40525221242176,0.536012343543222,0.39054193767843,-5.06290751315068,-1.84858993931028
205,-1.4058470397611,0.534896211288316,0.389830168306905,-5.06796479339175,-1.84751309830493
206,-1.40639608993013,0.533887253384517,0.389178413572986,-5.07276283857112,-1.84650967746375
207,-1.40691047786796,0.532963976846403,0.388568326066111,-5.07737699728303,-1.84556136201644
208,-1.40739779962672,0.53211178291032,0.387987728047696,-5.08185784525609,-1.8446558043697
209,-1.40786355254698,0.531320096602136,0.387428794495463,-5.08624121581493,-1.84378422467838
210,-1.40831189521411,0.530580847669352,0.386886966609517,-5.09055355015915,-1.84294012603617
211,-1.40874608519987,0.52988761479924,0.386360145770284,-5.09481498292534,-1.84211855126665
212,-1.40916874523562,0.529235132650092,0.385847998071169,-5.09904122907245,-1.84131562670166
213,-1.40958203183188,0.528619003452131,0.385351310238464,-5.10324479070663,-1.84052826858543
214,-1.40998774570346,0.528035530976303,0.384871389083324,-5.10743576456351,-1.8397539866492
215,-1.41038740637787,0.527481624222794,0.384409528409019,-5.11162239294461,-1.83899074824534
216,-1.41078230442239,0.526954735971463,0.383966577329438,-5.11581145796008,-1.83823688150948
217,-1.41117353968086,0.526452815421493,0.383542638961402,-5.12000856833901,-1.83749100435939
218,-1.41156205086389,0.525974260020348,0.38313692296229,-5.12421837664967,-1.83675197098392
219,-1.41194863985436,0.525517856878504,0.382747753226376,-5.1284447452687,-1.83601883042317
220,-1.41233399272906,0.525082715170802,0.382372723651798,-5.13269087866196,-1.83529079370173
221,-1.41271869852496,0.524668186995389,0.382008969521457,-5.1369594359929,-1.83456720719574
222,-1.41310326609223,0.524273784025274,0.381653508657837,-5.14125262047551,-1.83384753072401
223,-1.41348813893293,0.523899096690828,0.381303599222731,-5.14557225390852,-1.83313131939
224,-1.41387370769407,0.523543723548387,0.38095706298965,-5.14991983707313,-1.83241820854565
225,-1.41426031993286,0.523207218699371,0.380612515841438,-5.15429660482268,-1.83170790145596
226,-1.41464828690541,0.522889062005723,0.380269484640039,-5.15870356140369,-1.83100015933972
227,-1.41503788734463,0.522588651364778,0.379928375210013,-5.16314151528601,-1.83029479349602
228,-1.41542936851553,0.522305321374208,0.379590320221198,-5.16761109673461,-1.82959165920315
229,-1.41582294511043,0.522038378067759,0.379256913163522,-5.17211277792778,-1.8288906510488
230,-1.41621879680805,0.521787144995454,0.378929887657389,-5.17664688227106,-1.82819169931337
231,-1.41621879680805,0.521787144995454,0.378929887657389,-5.17664688227106,-1.82819169931337
232,-1.41691198606849,0.5213761523763,0.378374493537896,-5.18459527256871,-1.82697868392477
233,-1.41742493972516,0.521093416318181,0.377979462372048,-5.19048127476176,-1.82608990465183
234,-1.41786287856195,0.52086996446681,0.377656217809919,-5.19550926236279,-1.82533883286964
235,-1.41825911619993,0.520683674037604,0.377375589134774,-5.2000606617478,-1.82466625555501
236,-1.41862905532617,0.520524258733409,0.377123179908931,-5.20431204433393,-1.82404471522022
237,-1.41898124465408,0.520386004958865,0.376890330961224,-5.20836163966455,-1.82345892210922
238,-1.4193209786434,0.520265372663072,0.376671264080589,-5.21227049672433,-1.82289937224839
239,-1.41965178608279,0.520159984583675,0.376461947523802,-5.21607949329933,-1.82235970674922
240,-1.41997614573661,0.520068133589224,0.376259579531441,-5.2198175072561,-1.82183544144355
241,-1.420295868227,0.519988517375953,0.37606230137047,-5.22350577446203,-1.82132328814211
242,-1.42061231594417,0.519920088791689,0.375869005895712,-5.22716040463893,-1.82082076271909
243,-1.42092653715584,0.51986197034031,0.375679177007786,-5.23079391954151,-1.82032594485748
244,-1.42123935148482,0.519813406651785,0.375492737656653,-5.23441624126001,-1.81983732358369
245,-1.42155140634023,0.519773739515719,0.375309894452906,-5.23803535069005,-1.81935369401626
246,-1.42186321531764,0.519742399814185,0.375130991723499,-5.24165774194719,-1.8188740860473
247,-1.42217518510665,0.519718903191785,0.374956371202934,-5.24528874629486,-1.8183977136546
248,-1.42248763497839,0.519702851326552,0.374786262840494,-5.24893276629741,-1.81792393793042
249,-1.42280081145887,0.519693930377721,0.37462070869485,-5.25259345008207,-1.81745223945289
250,-1.42311489988216,0.519691907059768,0.374459522275734,-5.25627382592477,-1.81698219715362
251,-1.4234300339259,0.519696619305025,0.374302292445004,-5.25997640865583,-1.81651347178855
252,-1.42374630380018,0.51970796385096,0.374148427476202,-5.26370327663286,-1.816045792741
253,-1.42406376345932,0.5197258790611,0.373997226024667,-5.26745614401105,-1.815578947298
254,-1.42438243699993,0.519750325632252,0.373847968302297,-5.27123641368949,-1.81511277181858
255,-1.42470232426447,0.519781268542182,0.373700007664369,-5.27504522175378,-1.81464714440213
256,-1.42502340560278,0.519818660705627,0.373552850878617,-5.27888347783141,-1.81418197878588
257,-1.42534564572823,0.51986243198427,0.373406215942255,-5.28275189335438,-1.81371721928014
258,-1.42566899662972,0.519912482975598,0.373260053497821,-5.28665100911055,-1.81325283659282
259,-1.42599339956974,0.519968685821798,0.373114533578503,-5.29058121614782,-1.81278882441324
260,-1.42631878627427,0.520030890911332,0.372969999284508,-5.29454277037896,-1.81232519663133
261,-1.4266450794949,0.520098936914815,0.372826891199419,-5.29853580928816,-1.81186198506721
262,-1.42697219318818,0.520172663189363,0.372685664302567,-5.30256036259999,-1.81139923758251
263,-1.42730003257072,0.520251923299217,0.372546703894673,-5.30661636171366,-1.8109370164534
264,-1.42762849430343,0.520336594342009,0.372410259397141,-5.31070364790702,-1.8104753968954
265,-1.42795746699782,0.520426582493494,0.372276403744422,-5.31482198346113,-1.81001446565491
266,-1.42828683215834,0.520521823431142,0.372145030741539,-5.31897105720591,-1.80955431960996
267,-1.42861646556296,0.520622277314822,0.372015880638796,-5.32315049385081,-1.80909506436075
268,-1.42894623899655,0.520727918927456,0.371888596829684,-5.32735986276551,-1.80863681281836
269,-1.42927602216061,0.520838726682779,0.371762795961482,-5.33159868555027,-1.80817968382961
270,-1.42960568454547,0.520954669536185,0.371638142314777,-5.33586644216035,-1.80772380088895
271,-1.42993509704102,0.521075697149229,0.371514407636086,-5.34016258052021,-1.80726929099357
272,-1.43026413311108,0.5212017343403,0.371391511692256,-5.34448651841253,-1.8068162836839
273,-1.43059266942413,0.521332677538933,0.371269524449949,-5.34883765191608,-1.80636491029525
274,-1.43092058594766,0.52146840119082,0.371148648818332,-5.3532153545562,-1.80591530341118
275,-1.4312477655891,0.521608763181976,0.371029169501311,-5.35761898170915,-1.80546759649119
276,-1.4315740935603,0.521753616271062,0.370911391913461,-5.36204787233817,-1.80502192361604
277,-1.43189945667857,0.521902817395815,0.370795580096868,-5.36650134765701,-1.80457841928537
278,-1.43222374280997,0.522056236433796,0.370681903868689,-5.37097871529661,-1.80413721820436
279,-1.43254684062685,0.522213760436155,0.37057040884964,-5.37547926717168,-1.80369845500706
280,-1.43286863976428,0.522375294427314,0.370461015206771,-5.38000228585227,-1.80326226388817
281,-1.43318903136611,0.522540757349387,0.370353540618311,-5.38454704483062,-1.80282877814445
282,-1.43350790892388,0.522710075276644,0.370247746268515,-5.38911280999751,-1.80239812965193
283,-1.43382516923905,0.522883173011038,0.370143389008434,-5.39369884511255,-1.80197044832645
284,-1.43414071332076,0.523059965181939,0.370040275996915,-5.39830441363977,-1.80154586162102
285,-1.43445444703093,0.523240350109146,0.369938299510566,-5.40292878189253,-1.80112449411373
286,-1.43476628136461,0.523424208516998,0.369837455809693,-5.4075712173681,-1.80070646721784
287,-1.4350761323187,0.523611403964848,0.369737832301862,-5.41223099477277,-1.80029189902667
288,-1.43538392041479,0.523801787523743,0.369639584512156,-5.41690739259304,-1.79988090427417
289,-1.43568956997917,0.523995205475515,0.369542891477874,-5.42159969449112,-1.79947359437989
290,-1.43599300835878,0.524191506763056,0.369447909506974,-5.42630718690558,-1.79907007752583
291,-1.43629416524935,0.52439054916436,0.36935473352451,-5.43102916017163,-1.79867045871345
292,-1.43659297227501,0.52459220275541,0.36926337667794,-5.43576490709751,-1.79827483975886
293,-1.43688936288564,0.524796351056434,0.36917376793949,-5.44051372655378,-1.797883319207
294,-1.43718327256577,0.525002886823104,0.36908577128829,-5.44527492174905,-1.79749599216603
295,-1.43747463926444,0.525211708595794,0.368999217137059,-5.45004780220464,-1.79711295008742
296,-1.43776340391629,0.525422714124249,0.368913943565324,-5.4548316860437,-1.7967342805301
297,-1.43804951088966,0.525635794097464,0.368829827781117,-5.45962590039372,-1.79636006695601
298,-1.43833290823984,0.525850829603949,0.368746810111276,-5.46442978124213,-1.79599038859219
299,-1.43861354768905,0.526067691142004,0.368664897361699,-5.46924267647817,-1.79562532038295
300,-1.43889138433379,0.52628624188828,0.36858415430621,-5.47406394280885,-1.79526493303116
301,-1.43916637613604,0.526506340424809,0.368504673383654,-5.47889294745478,-1.79490929311273
302,-1.43943848332759,0.526727846585988,0.368426545725975,-5.48372906626046,-1.79455846322528
303,-1.43970766785704,0.526950626490544,0.368349830922937,-5.48857168419036,-1.79421250213357
304,-1.43997389299928,0.527174556370526,0.368274538904455,-5.49342019250541,-1.79387146487552
305,-1.44023712319696,0.52739952199794,0.368200624718772,-5.49827399154511,-1.79353540280865
306,-1.44049732413907,0.52762541853063,0.368127997544628,-5.50313248991553,-1.79320436359477
307,-1.44075446302715,0.527852146276784,0.368056539772933,-5.5079951058461,-1.7928783911367
308,-1.44100850893494,0.528079608315067,0.367986138645646,-5.5128612636448,-1.79255752549464
309,-1.44125943313005,0.528307704951232,0.367916706876658,-5.5177304016749,-1.79224180282068
310,-1.44150720926371,0.52853633217635,0.36784819372733,-5.52260196669504,-1.79193125533841
311,-1.44175181339222,0.528765381787874,0.367780594031396,-5.52747541676642,-1.79162591137761
312,-1.44199322380444,0.52899474153122,0.367713939036713,-5.53235022073673,-1.79132579547206
313,-1.44223142070616,0.52922429918457,0.3676482756646,-5.53722585733298,-1.79103092850495
314,-1.44246638586233,0.529453945619263,0.367583649203037,-5.54210181355462,-1.79074132787202
315,-1.44269810227628,0.529683577444377,0.367520083372364,-5.5469775848896,-1.79045700763806
316,-1.44292655399171,0.529913099257867,0.367457566919705,-5.55185267694452,-1.7901779786616
317,-1.44315172606862,0.530142424133317,0.367396053921202,-5.55672660274835,-1.78990424867184
318,-1.44337360472171,0.530371471593796,0.36733547309416,-5.5615988823542,-1.78963582230101
319,-1.44359217756634,0.530600166309012,0.367275747255355,-5.56646904561824,-1.78937270108756
320,-1.44380743388198,0.530828434269115,0.367216803375005,-5.57133663150762,-1.78911488347686
321,-1.44401936483853,0.531056200800201,0.36715858979045,-5.57620118856309,-1.78886236483457
322,-1.44422796361126,0.531283388707442,0.367101082084472,-5.58106227413768,-1.78861513749439
323,-1.44443322536194,0.531509920806101,0.36704428438269,-5.58591945625859,-1.78837319084631
324,-1.44463514709598,0.531735719010086,0.366988217910373,-5.59077230921472,-1.78813651146331
325,-1.44483372744886,0.531960708102332,0.366932909258345,-5.59562041936902,-1.78790508324842
326,-1.44502896646912,0.532184816164199,0.366878375045239,-5.60046337864613,-1.78767888758441
327,-1.44522086546279,0.532407978067128,0.36682461045856,-5.60530078777196,-1.78745790346429
328,-1.4454094269527,0.532630135283768,0.366771590272047,-5.61013225388751,-1.78724210758762
329,-1.44559465474167,0.532851235551218,0.366719269615754,-5.61495739290931,-1.78703147442548
330,-1.44577655406573,0.533071229475967,0.36666759593387,-5.61977582740983,-1.78682597625775
331,-1.44595513176953,0.533290071230259,0.366616519881851,-5.62458718750395,-1.78662558320217
332,-1.44613390141339,0.533512066932487,0.366564992979822,-5.62948718208309,-1.7864263572261
333,-1.44626380906324,0.533675547480049,0.366527238549863,-5.63311050044852,-1.7862826123415
334,-1.44637274383831,0.533814445857239,0.366495316226346,-5.63620182504014,-1.78616293858107
335,-1.4464695915452,0.533939527088098,0.366466707102786,-5.63899722124644,-1.78605730760118
336,-1.44655848798047,0.53405578231324,0.366440245026348,-5.64160608857306,-1.78596104330481
337,-1.44664174512134,0.534165991459419,0.366415280028368,-5.6440893635994,-1.7858715274639
338,-1.44672080586486,0.534271884408323,0.366391408319185,-5.64648496840356,-1.7857871237659
339,-1.44679663960639,0.534374620701554,0.366368356300598,-5.64881833211481,-1.78570673157138
340,-1.44686993280165,0.534475019711626,0.366345928280041,-5.65110744443396,-1.78562957073916
341,-1.4469411909351,0.534573684117417,0.366323975408632,-5.65336555410185,-1.78555506637967
342,-1.44701079751038,0.534671071408293,0.366302383638615,-5.65560272417691,-1.7854827821255
343,-1.44707905029701,0.5347675367082,0.366281061300629,-5.65782678691898,-1.78541237909124
344,-1.44714618470972,0.53486336099533,0.36625993305698,-5.66004395602888,-1.7853435893824
345,-1.44721238949952,0.534958769488965,0.366238937654884,-5.66225923871784,-1.78527619830256
346,-1.44727781763908,0.53505394471338,0.366218024599701,-5.66447671817784,-1.78521003199919
347,-1.44734259409204,0.535149035672026,0.366197153133523,-5.66669975636121,-1.78514494863759
348,-1.44740682149434,0.53524416497623,0.366176291047367,-5.66893114036805,-1.78508083193862
349,-1.44747058439869,0.535339433025608,0.366155413398027,-5.6711731922471,-1.78501758634315
350,-1.44753395250385,0.535434922446916,0.366134500633188,-5.67342785277761,-1.78495513332361
351,-1.44759698315678,0.535530701179585,0.366113538216508,-5.67569674599032,-1.78489340852021
352,-1.4476597233204,0.535626825008023,0.36609251573083,-5.67798122811393,-1.78483235948235
353,-1.44772221114343,0.535723338916535,0.366071423589846,-5.68028243003673,-1.784771943861
354,-1.44778447723472,0.535820279632986,0.366050254363334,-5.68260128909139,-1.78471212794044
355,-1.44784654570939,0.53591767609236,0.366028999866129,-5.68493857447683,-1.78465288543158
356,-1.44790843506287,0.536015550851722,0.366007652767234,-5.68729491035166,-1.78459419646648
357,-1.44797015890664,0.536113921172341,0.365986205472054,-5.68967079402724,-1.78453604675232
358,-1.44803172659738,0.536212799451507,0.365964651097551,-5.69206661118351,-1.78447842685147
359,-1.44809314377724,0.536312193789749,0.365942981871602,-5.69448264974937,-1.78442133156368
